,Level,Area,names,Total,Bosniak,Serb,Croat,Bosnian,Romani,Muslim,Bosnian and Herzegovinian,Albanian,Yugoslav,Ukrainian,Montenegrin,Turk,Slovenian,Orthodox,Macedonian,Others,Undeclared,Unknown
1,3,?AJNI?E,Cajnice,4895,884,3972,6,2,NA,NA,3,NA,1,NA,9,NA,NA,7,NA,3,3,5
2,3,?APLJINA,Capljina,26157,4541,714,20538,5,20,65,6,25,5,NA,5,NA,7,2,8,74,124,18
3,3,?ELI?,Celic,10502,9341,192,843,35,15,18,1,6,2,NA,NA,NA,NA,1,NA,2,36,10
4,3,?ELINAC,Celinac,15548,453,14874,49,8,NA,13,NA,NA,12,58,5,NA,4,NA,5,19,39,9
5,3,?ITLUK,Citluk,18140,29,18,17900,NA,NA,NA,NA,30,NA,1,1,NA,1,NA,2,51,21,86
6,3,<U+008A>AMAC,Šamac,17273,1265,13256,2426,31,NA,16,NA,NA,27,NA,9,NA,2,12,4,51,151,23
7,3,<U+008A>EKOVI?I,Šekovici,6761,107,6618,8,3,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,7,6,8
8,3,<U+008A>IPOVO,Šipovo,10293,628,9576,26,5,NA,7,NA,NA,7,1,4,NA,1,1,1,7,24,5
9,3,<U+008A>IROKI BRIJEG,Široki Brijeg,28929,6,45,28814,NA,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,10,8,33
10,3,<U+008E>EP?E,Žepce,30219,11727,501,17801,45,NA,20,4,7,2,NA,6,NA,NA,2,NA,25,55,24
11,3,<U+008E>IVINICE,Živinice,57765,53089,242,2508,546,535,356,130,33,14,NA,3,12,4,NA,NA,83,172,38
12,3,BANJA LUKA,Banja Luka,185042,7681,165750,5104,323,132,291,60,28,648,413,335,NA,230,45,130,802,2733,337
13,3,BANOVI?I,Banovici,22773,21374,237,284,333,190,148,51,14,6,1,2,NA,6,NA,1,26,97,3
14,3,BERKOVI?I,Berkovici,2114,159,1942,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
15,3,BIHA?,Bihac,56261,49550,910,3265,829,181,378,233,37,21,2,10,4,15,12,7,150,619,38
16,3,BIJELJINA,Bijeljina,107715,13090,91784,515,122,496,284,12,17,151,1,36,1,22,77,33,298,674,102
17,3,BILE?A,Bileca,10807,26,10646,21,NA,NA,5,NA,NA,3,NA,54,NA,NA,NA,NA,11,30,11
18,3,BOSANSKA KRUPA,Bosanska Krupa,25545,23578,1260,66,136,118,142,30,23,5,NA,NA,1,3,5,1,30,106,41
19,3,BOSANSKI PETROVAC,Bosanski Petrovac,7328,3179,3996,26,15,3,39,3,1,2,NA,1,1,1,7,1,11,30,12
20,3,BOSANSKO GRAHOVO,Bosansko Grahovo,2449,6,2028,393,1,NA,1,NA,NA,1,1,2,NA,NA,NA,NA,4,10,2
21,3,BRATUNAC,Bratunac,20340,7803,12350,33,2,8,2,NA,NA,6,NA,12,NA,NA,38,1,17,26,42
22,3,BREZA,Breza,14168,13154,121,314,207,53,70,56,11,4,NA,3,NA,1,1,2,39,118,14
23,3,BROD,Bosanski Brod,16619,1509,11477,3287,21,NA,15,5,16,26,1,2,NA,1,7,9,58,148,37
24,3,BU<U+008E>IM,Bužim,19340,19207,1,8,45,NA,39,7,NA,NA,NA,NA,NA,4,1,NA,NA,6,22
25,3,BUGOJNO,Bugojno,31470,24650,376,5767,168,50,131,76,13,2,NA,3,1,NA,1,4,44,153,31
26,3,BUSOVA?A,Busovaca,17910,8681,205,8873,42,3,25,4,1,2,NA,9,3,2,1,NA,19,27,13
27,3,CAZIN,Cazin,66149,63463,29,320,1441,4,310,92,11,7,NA,3,NA,15,1,NA,61,331,61
28,3,CENTAR SARAJEVO,Centar Sarajevo,55181,41702,2186,3333,3072,273,156,1577,148,89,7,110,25,43,4,34,665,1617,140
29,3,DERVENTA,Derventa,27404,1895,22349,2573,33,10,69,5,1,53,31,3,4,1,2,NA,65,252,58
30,3,DOBOJ,Doboj,71441,15322,52628,1845,160,156,151,43,9,77,12,50,NA,6,50,14,264,490,164
31,3,DOBOJ-ISTOK,Doboj East,10248,9830,12,18,26,1,42,11,1,NA,NA,NA,NA,NA,NA,NA,15,18,274
32,3,DOBOJ-JUG,Doboj South,4137,4017,9,24,20,26,8,2,4,NA,NA,NA,NA,NA,NA,NA,7,14,6
33,3,DOBRETI?I,Dobretici,1629,NA,1,1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
34,3,DOMALJEVAC-<U+008A>AMAC,Domaljevac-Šamac,4771,17,92,4634,NA,5,NA,NA,NA,3,2,NA,NA,NA,NA,NA,3,12,3
35,3,DONJI <U+008E>ABAR,Donji Žabar,3809,5,2759,1029,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,3,5,2
36,3,DONJI VAKUF,Donji Vakuf,13985,13376,107,58,75,152,112,11,14,NA,NA,NA,NA,1,NA,NA,21,46,12
37,3,DRVAR,Drvar,7036,11,6420,552,3,NA,3,NA,NA,5,NA,1,NA,2,NA,1,9,26,3
38,3,FO?A - FBiH,Foca-Ustikolina,1933,1762,145,NA,6,1,10,1,NA,NA,NA,1,NA,1,NA,NA,3,3,NA
39,3,FO?A - RS,Foca,18288,1270,16739,55,6,3,14,NA,NA,10,NA,85,NA,13,7,7,31,32,16
40,3,FOJNICA,Fojnica,12356,7592,48,3664,91,35,45,10,23,1,NA,3,NA,NA,2,NA,26,46,770
41,3,GACKO,Gacko,8990,369,8556,15,NA,NA,1,NA,NA,3,NA,26,NA,1,NA,2,8,3,6
42,3,GLAMO?,Glamoc,3860,1251,1679,906,4,1,1,1,1,NA,NA,2,NA,NA,NA,NA,3,11,NA
43,3,GORA<U+008E>DE,Goražde,20897,19692,707,23,166,29,89,39,15,7,NA,5,NA,2,NA,2,39,73,9
44,3,GORNJI VAKUF-USKOPLJE,Gornji Vakuf-Uskoplje,20933,12004,30,8660,66,36,27,12,12,1,NA,NA,3,1,NA,1,11,28,41
45,3,GRA?ANICA,Gracanica,45220,43857,157,72,377,257,127,79,24,5,NA,1,1,5,3,4,41,137,73
46,3,GRAD MOSTAR,Mostar,105797,46752,4421,51216,75,257,159,271,294,83,7,33,6,35,13,21,656,1312,186
47,3,GRADA?AC,Gradacac,39340,37130,345,918,317,127,172,45,23,4,NA,NA,NA,1,NA,3,35,167,53
48,3,GRADI<U+008A>KA,Bosanska Gradiška,51727,7580,41863,826,26,395,119,14,30,76,111,29,NA,14,6,4,175,416,43
49,3,GRUDE,Grude,17308,3,10,17216,1,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,5,3,65
50,3,HAD<U+008E>I?I,Hadžici,23891,22120,218,179,311,62,194,91,33,5,NA,1,111,2,4,2,84,117,357
51,3,HAN PIJESAK,Han Pijesak,3530,431,3068,7,1,1,6,NA,NA,2,NA,1,NA,1,NA,NA,9,3,NA
52,3,ILID<U+008E>A,Ilidža,66730,58120,1600,3030,1036,376,269,462,148,31,3,22,565,12,12,8,315,657,64
53,3,ILIJA<U+008A>,Ilijaš,19603,18151,421,382,169,123,127,35,24,2,1,4,NA,1,NA,NA,42,101,20
54,3,ISTO?NA ILID<U+008E>A,Istocna Ilidža,14763,648,13755,156,31,NA,9,3,1,9,5,10,NA,4,NA,5,21,96,10
55,3,ISTO?NI DRVAR,Istocni Drvar,79,NA,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,3,ISTO?NI MOSTAR,Mostar.1,257,78,166,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
57,3,ISTO?NI STARI GRAD,Istocni Stari Grad,1131,43,1071,7,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,2,2,1
58,3,ISTO?NO NOVO SARAJEVO,East New Sarajevo,10642,44,10248,107,19,74,3,11,2,11,2,21,NA,5,NA,7,20,62,6
59,3,JABLANICA,Jablanica,10111,9045,63,726,26,27,28,56,1,3,NA,2,1,1,NA,NA,25,104,3
60,3,JAJCE,Jajce,27258,13269,501,12555,246,247,136,78,9,14,1,5,NA,6,5,NA,53,95,38
61,3,JEZERO,Jezero,1144,287,841,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1
62,3,KAKANJ,Kakanj,37441,32341,281,2973,380,851,148,114,18,2,1,3,5,13,3,3,105,172,28
63,3,KALESIJA,Kalesija,33053,32227,254,20,139,137,117,24,21,1,NA,1,1,NA,1,NA,17,54,39
64,3,KALINOVIK,Kalinovik,2029,57,1947,8,4,NA,NA,1,NA,2,NA,6,NA,NA,NA,NA,3,1,NA
65,3,KISELJAK,Kiseljak,20722,7838,409,11823,69,220,93,15,11,5,NA,11,71,4,4,NA,45,85,19
66,3,KLADANJ,Kladanj,12348,11997,107,33,60,33,35,12,7,1,NA,1,NA,NA,NA,NA,13,40,9
67,3,KLJU?,Kljuc,16744,16130,273,30,49,114,54,15,13,3,NA,NA,NA,5,NA,NA,5,30,23
68,3,KNE<U+008E>EVO,Skender Vakuf / Kneževo,9793,429,9288,31,1,NA,1,NA,NA,1,NA,4,NA,2,16,2,10,4,4
69,3,KONJIC,Konjic,25148,22486,355,1553,86,114,89,152,18,10,NA,4,NA,1,2,3,83,168,24
70,3,KOSTAJNICA,Bosanska Kostajnica,5977,1460,4315,86,NA,6,5,NA,1,5,NA,2,1,1,3,3,17,70,2
71,3,KOTOR VARO<U+008A>,Kotor Varoš,19710,5234,13091,1116,11,NA,23,1,1,19,1,12,NA,1,27,NA,38,115,20
72,3,KOZARSKA DUBICA,Dubica,21524,2168,18670,273,28,22,49,NA,1,38,NA,18,NA,7,7,14,44,171,14
73,3,KRE<U+008A>EVO,Kreševo,5273,1014,26,4149,12,NA,18,9,1,2,1,NA,NA,3,NA,2,5,28,3
74,3,KRUPA NA UNI,Krupa na Uni,1597,3,1592,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,3,KUPRES - FBiH,Kupres,5057,255,318,4474,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,4,1
76,3,KUPRES - RS,Kupres.1,300,NA,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
77,3,LAKTA<U+008A>I,Laktaši,34966,112,33462,521,10,4,9,1,4,50,236,16,NA,47,38,16,148,245,47
78,3,LIVNO,Livno,34133,4047,438,29273,37,8,31,23,40,NA,3,6,NA,6,8,5,49,137,22
79,3,LJUBINJE,Ljubinje,3511,12,3469,10,NA,NA,2,NA,NA,1,NA,5,NA,NA,NA,NA,5,5,2
80,3,LjUBU<U+008A>KI,Ljubuški,28184,707,41,27271,NA,NA,5,5,30,NA,NA,2,NA,1,NA,NA,35,51,36
81,3,LOPARE,Lopare,15357,1371,13869,50,3,1,3,NA,NA,8,1,3,NA,NA,NA,4,8,25,11
82,3,LUKAVAC,Lukavac,44520,38561,1499,1524,1187,427,395,296,32,12,2,11,1,10,NA,3,102,378,80
83,3,MAGLAJ,Maglaj,23146,19810,810,2041,198,NA,67,44,10,3,2,1,8,3,1,1,40,96,11
84,3,MILI?I,Milici,11441,4199,7180,24,NA,9,1,NA,NA,NA,NA,2,NA,NA,NA,4,5,9,8
